iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,46.49,38.95,0.3696158,0.44143442,0.51298605
5,65.29,65.2,0.16564912,0.21440746,0.26166282
6,66.19,66.12,0.15108906,0.19653126,0.24043197
7,66.75,66.71,0.14266932,0.18634704,0.22851571
8,67.65,67.61,0.14156803,0.18450482,0.22559191
9,67.25,67.15,0.13956753,0.18165786,0.22208399
10,67.56,67.54,0.13823675,0.17935081,0.2186074
11,67.27,67.26,0.13980416,0.1804836,0.21943577
12,67.23,67.21,0.14036616,0.18099603,0.21974369
13,68.07,68.07,0.14192218,0.18251678,0.22116967
14,67.79,67.77,0.14252734,0.18310083,0.22152292
