iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.29660054,0.49305492,0.65257954
5,78.4,64.39,0.1711717,0.30566997,0.42732992
6,76.01,47.74,0.16975677,0.30266089,0.42286264
7,76.02,45.01,0.16725286,0.29932767,0.4193473
8,75.84,43.69,0.16242585,0.2922827,0.4109337
9,75.92,44.43,0.15842065,0.28500214,0.40117396
10,76.51,47.07,0.15262254,0.27590765,0.38946544
11,75.84,44.24,0.14600767,0.26654496,0.37821727
12,76.92,49.66,0.1368255,0.25218843,0.36005849
13,77.74,53.47,0.13255861,0.24559316,0.35173275
14,78.07,55.65,0.12643635,0.23671514,0.34171053
15,76.69,48.57,0.1230887,0.23220466,0.33664595
16,76.88,49.36,0.11696081,0.22288191,0.32551416
17,77.3,51.54,0.11737,0.22320017,0.32605863
18,76.29,45.96,0.11430088,0.21894001,0.32102149
19,76.2,45.82,0.11107344,0.21415408,0.31482382
20,76.82,48.87,0.11032923,0.21301128,0.31344426
21,76.79,48.9,0.10612858,0.20694031,0.30616251
22,79.49,61.29,0.10418942,0.20387796,0.30229453
23,78.26,56.36,0.10340865,0.20286871,0.30128602
24,81.1,67.25,0.10435252,0.20399639,0.30236768
25,81.58,69.26,0.10301944,0.20104369,0.29793049
26,81.2,67.54,0.10323286,0.20052702,0.29660719
27,81.24,68.17,0.10243667,0.1989739,0.29423183
28,82.01,70.7,0.10128936,0.19775135,0.29294498
29,82.24,71.4,0.1005176,0.19552116,0.28933754
