iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,48.57,42.41,0.36013064,0.43112515,0.50179103
5,55.04,55.04,0.16933003,0.21853934,0.26671005
6,57.92,57.84,0.15727179,0.203822,0.24888511
7,60.36,60.28,0.14767687,0.19159192,0.2338254
8,60.67,60.63,0.14359425,0.1858387,0.22666787
9,60.81,60.81,0.14322091,0.18514889,0.22534628
10,61.76,61.76,0.14289334,0.18445869,0.22417201
11,59.99,59.98,0.14260751,0.18373666,0.22301875
12,59.41,59.38,0.14324467,0.18347967,0.22178333
13,61.56,61.54,0.14351109,0.18330775,0.22138997
14,61.63,61.62,0.14520666,0.18508221,0.22305726
