iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,78.49,57.84,0.08928795,0.15581512,0.21580373
6,78.74,60.9,0.07811427,0.13640986,0.18987096
7,78.28,59.93,0.06594006,0.11744698,0.16552152
8,77.62,56.24,0.05743453,0.1032829,0.14675095
9,77.6,56.07,0.049868,0.09057482,0.12988848
10,76.64,55.51,0.04226667,0.07846128,0.11401376
11,77.02,55.79,0.03754165,0.07011698,0.10302774
12,78.08,58.36,0.03647211,0.06766182,0.09926194
13,78.43,60.56,0.03075009,0.05795591,0.08617535
14,78.63,61.55,0.0285962,0.05358638,0.07996193
15,79.63,65.56,0.02610314,0.04952995,0.07423501
16,79.8,65.8,0.02516317,0.04720654,0.0705681
17,80.32,67.62,0.0220612,0.04310759,0.06518253
18,80.46,68.3,0.02270117,0.04340819,0.06504317
19,80.18,68.35,0.02162119,0.04121544,0.06170377
20,80.08,69.51,0.0224527,0.04225608,0.06252088
21,80.29,70.03,0.02352109,0.04367348,0.06397806
22,81.62,71.32,0.02390107,0.04414135,0.0644676
23,81.41,70.18,0.02478841,0.04567374,0.06642568
24,82.1,71.69,0.02578534,0.04631992,0.06649577
25,82.05,72.25,0.02555207,0.04642068,0.06712821
26,82.24,71.9,0.02500484,0.04593614,0.06632597
27,81.96,72.42,0.02601983,0.04742375,0.06836623
28,82.88,73.66,0.02650136,0.04828074,0.06928182
29,82.61,73.04,0.02717467,0.04890499,0.06974151
