iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,77.35,56.37,0.09709811,0.1691816,0.23381075
6,78.61,62.75,0.08825694,0.1539824,0.21310505
7,78.86,65.44,0.08110374,0.14195269,0.19713512
8,79.1,67.93,0.07046508,0.12372896,0.17295757
9,79.59,66.48,0.0616639,0.10856582,0.15238417
10,79.59,67.57,0.05840893,0.10209275,0.14313725
11,79.58,69.6,0.05246051,0.09246436,0.13046387
12,80.33,71.24,0.04284203,0.07669446,0.10969916
13,81.12,72.95,0.03503086,0.06402002,0.09283632
14,80.66,72.54,0.02961601,0.05528257,0.08140051
15,80.78,72.84,0.02685598,0.050373,0.07468369
16,80.99,73.06,0.02462514,0.04623211,0.06864254
17,81.37,73.99,0.02591183,0.04719245,0.06917142
18,81.84,74.54,0.02543212,0.04648466,0.06792791
19,81.38,73.51,0.02374278,0.0443356,0.06536642
20,81.83,74.34,0.02371447,0.04414397,0.06501101
21,82.22,74.59,0.02461094,0.04544017,0.06654068
22,81.31,73.15,0.02560056,0.04680526,0.06812729
23,81.77,73.7,0.02551492,0.04641772,0.06694863
24,81.76,74.42,0.02641186,0.04749392,0.06822599
25,81.84,74.12,0.02547415,0.04649733,0.06716746
26,82.0,73.98,0.02648944,0.04802915,0.06877929
27,81.75,73.95,0.02534502,0.04610203,0.066604
28,81.94,73.06,0.02603905,0.04735894,0.06818348
29,81.84,73.43,0.02678253,0.04817515,0.06882919
