iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.26858852,0.4428577,0.58233766
5,77.09,61.94,0.11009068,0.19248733,0.26457944
6,78.11,67.2,0.11076533,0.1922148,0.26338733
7,79.19,72.74,0.11203046,0.19402354,0.26541731
8,79.7,69.95,0.11068962,0.19108561,0.26192923
9,81.37,72.2,0.10735004,0.18630205,0.25584892
10,79.14,73.73,0.1005891,0.17581525,0.24268276
11,80.26,73.18,0.09556011,0.16718306,0.23142573
12,81.13,72.87,0.09103872,0.15997541,0.22251548
13,80.18,66.91,0.08667142,0.15341621,0.21416561
14,80.52,67.92,0.08143188,0.1461108,0.2056269
15,80.39,67.4,0.07623877,0.13749183,0.19459674
16,80.18,66.35,0.07404886,0.1335946,0.18927075
17,79.97,64.11,0.06920933,0.1251926,0.17791372
18,79.09,62.79,0.0668109,0.12109309,0.17262727
19,79.12,59.09,0.06461981,0.11803479,0.16918332
20,80.01,62.82,0.06067854,0.11159029,0.16064795
21,81.28,67.86,0.05626649,0.1052389,0.15303631
22,81.26,68.9,0.05431684,0.10154873,0.14797851
23,81.01,69.69,0.05179686,0.09675471,0.14131682
24,81.02,68.77,0.05118758,0.09529576,0.13902474
25,80.12,68.17,0.04874682,0.09102816,0.13318554
26,80.57,67.87,0.04614904,0.08690589,0.12759264
27,80.66,68.92,0.04365986,0.08305404,0.12251612
28,81.06,71.01,0.04228476,0.08077677,0.11955258
29,81.59,70.45,0.04298889,0.0812373,0.11975368
