iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.26858852,0.4428577,0.58233766
5,76.69,50.71,0.13313958,0.23109717,0.31578605
6,76.26,49.64,0.13345926,0.23064005,0.31438525
7,76.71,55.76,0.13236718,0.22806924,0.31044158
8,75.62,52.46,0.12964168,0.22325134,0.3036926
9,76.78,52.89,0.12688695,0.21840101,0.29721381
10,76.92,54.63,0.12012408,0.20736428,0.28295791
11,76.79,51.64,0.11144305,0.19396173,0.26623959
12,77.06,53.5,0.10586373,0.18560077,0.25588953
13,76.93,53.45,0.10044321,0.17764612,0.24610314
14,75.95,49.64,0.09401893,0.16734595,0.23310433
15,75.77,48.71,0.09058955,0.16196738,0.22665193
16,75.67,46.58,0.08700703,0.15718294,0.22140544
17,75.81,47.08,0.08137679,0.14781808,0.20948361
18,74.97,44.28,0.07799339,0.14192209,0.20163236
19,75.41,45.17,0.07648742,0.13970473,0.19872885
20,76.12,49.26,0.07473746,0.13701208,0.19562879
21,76.08,50.55,0.07093961,0.13137714,0.18875598
22,76.05,53.67,0.06959941,0.1295086,0.18658294
23,77.16,53.45,0.06922494,0.12883379,0.18589521
24,76.48,53.44,0.06531854,0.12260324,0.17799443
25,77.42,56.06,0.06566027,0.12326138,0.17857004
26,77.37,57.05,0.06507437,0.12158146,0.17580175
27,78.07,60.19,0.06522792,0.12132749,0.17533614
28,77.69,59.16,0.06520012,0.12120862,0.1753552
29,78.42,62.24,0.06169745,0.11635551,0.1696465
