iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,74.47,61.0,0.11908726,0.20638434,0.28245846
6,74.12,59.91,0.11873246,0.20420374,0.27852949
7,73.74,65.01,0.11453967,0.19756507,0.27028072
8,74.78,64.41,0.10484342,0.18220495,0.25037434
9,76.4,70.2,0.09687816,0.16976817,0.23477181
10,78.64,70.91,0.09099045,0.15961247,0.22174037
11,76.19,69.65,0.08045394,0.1425765,0.19979882
12,73.43,68.36,0.07595226,0.13556541,0.19088953
13,72.16,67.86,0.07398172,0.13252942,0.18705875
14,73.25,68.18,0.0680704,0.12357803,0.17598913
15,73.01,68.25,0.06659865,0.122099,0.17492842
16,74.78,69.92,0.06571841,0.12106182,0.17438229
17,76.02,70.58,0.06435841,0.11921829,0.17224715
18,75.91,70.85,0.06091997,0.11450967,0.16663185
19,77.84,72.54,0.05868087,0.10984901,0.16008746
20,77.34,72.17,0.05535083,0.10522996,0.15477802
21,76.95,71.53,0.05500379,0.10423448,0.1533175
22,76.43,71.14,0.05426924,0.10286752,0.15133926
23,76.96,71.26,0.05301343,0.10129688,0.14969703
24,77.27,71.79,0.05092479,0.09731838,0.14405299
25,77.98,72.63,0.05193091,0.09851069,0.14540879
26,78.64,72.92,0.05025506,0.09608288,0.14246545
27,79.02,73.5,0.04958008,0.09508938,0.14130163
28,77.84,72.59,0.05020688,0.09664627,0.14342434
29,78.21,72.76,0.04839196,0.09323691,0.13881448
