iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,49.81,37.67,0.35782465,0.4275188,0.49697683
5,63.05,63.01,0.16665635,0.21552057,0.26344659
6,65.69,65.58,0.15502764,0.20164382,0.24664573
7,66.53,66.53,0.14514364,0.18983914,0.23316664
8,67.27,67.26,0.14331246,0.18652141,0.22844883
9,67.01,66.96,0.1413605,0.18362272,0.22451644
10,66.77,66.77,0.14022853,0.18188928,0.22176259
11,66.77,66.73,0.14147752,0.18284607,0.22231624
12,67.64,67.6,0.14227576,0.18310349,0.22211882
13,67.91,67.91,0.14265635,0.18259959,0.22068054
14,67.55,67.55,0.14389354,0.18393761,0.2218921
