iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,74.4,60.24,0.14120245,0.24597306,0.33666559
6,68.88,58.76,0.14466307,0.24875428,0.33908058
7,73.45,64.14,0.14869785,0.25313294,0.34369111
8,76.97,69.63,0.14666287,0.25021133,0.34049191
9,78.72,71.48,0.14455736,0.24721768,0.33706658
10,78.85,70.91,0.14263135,0.24452579,0.33414029
11,78.09,70.15,0.13499919,0.23314333,0.31971908
12,78.98,71.01,0.13195832,0.22803751,0.31320666
13,79.59,71.4,0.12705571,0.22017598,0.30308726
14,78.37,69.96,0.11951194,0.20945845,0.28994488
15,78.64,70.89,0.10995708,0.19461697,0.27132574
16,79.44,69.24,0.10363584,0.18401038,0.25737434
17,80.45,71.42,0.09593179,0.17235994,0.24268454
18,81.05,72.07,0.08988951,0.16256511,0.23004509
19,81.02,71.83,0.0825389,0.15063789,0.21446234
20,81.33,69.91,0.07776496,0.14234947,0.20328439
21,81.97,71.99,0.07229988,0.1337373,0.19207244
22,81.82,71.83,0.0683356,0.12690882,0.18277791
23,82.15,71.8,0.06330773,0.11783524,0.17031923
24,81.75,72.22,0.06092585,0.11378288,0.16511284
25,81.9,71.82,0.05580824,0.10528961,0.1539493
26,81.68,71.96,0.05149619,0.09902013,0.14625798
27,81.8,72.23,0.04820297,0.09310592,0.13797958
28,81.72,72.19,0.04545066,0.08845993,0.13233042
29,81.49,72.49,0.04422753,0.08651835,0.13003132
