iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,75.73,46.46,0.10600059,0.18252317,0.2494548
6,76.04,49.08,0.10515326,0.18077203,0.24682366
7,76.68,58.42,0.10249805,0.17585109,0.24003934
8,79.37,66.5,0.09281973,0.16021586,0.21946633
9,79.52,67.36,0.08466779,0.14513964,0.19936498
10,78.7,68.28,0.07735866,0.13334302,0.18424041
11,78.49,67.66,0.06559993,0.11492586,0.1607451
12,77.86,66.82,0.0579165,0.10221208,0.14409246
13,78.53,68.46,0.0506823,0.09039552,0.12851812
14,78.05,66.46,0.04556031,0.08233878,0.11773427
15,79.17,69.67,0.03766063,0.06914532,0.10052991
16,78.19,68.06,0.03336501,0.06215872,0.09106423
17,79.23,69.74,0.03127763,0.05839369,0.08586534
18,79.16,69.34,0.02824234,0.05308191,0.07873767
19,79.31,70.57,0.02810843,0.05231854,0.07728876
20,79.03,70.17,0.02659209,0.04948823,0.07341101
21,80.15,70.9,0.02456613,0.04629175,0.06897046
22,80.35,71.27,0.02512385,0.04675369,0.06937944
23,80.7,71.69,0.02436889,0.04539347,0.06729415
24,80.12,70.86,0.02725669,0.04976198,0.07230227
25,80.01,70.5,0.02685155,0.0491335,0.0715048
26,80.01,70.6,0.02669631,0.04872337,0.07110742
27,79.91,70.6,0.02525499,0.04651276,0.06819636
28,79.96,70.18,0.02525154,0.04634041,0.06789058
29,80.67,71.43,0.02605036,0.04750752,0.06909251
