iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.26858852,0.4428577,0.58233766
5,75.73,46.46,0.10631576,0.18251289,0.24925861
6,76.04,49.08,0.1055246,0.18064709,0.24651261
7,76.68,58.42,0.1026218,0.17555165,0.23962929
8,79.37,66.5,0.09303098,0.16047986,0.21988167
9,79.52,67.36,0.08419078,0.14485532,0.19923816
10,78.7,68.28,0.07695013,0.13308736,0.18403007
11,78.49,67.66,0.06550157,0.11505309,0.16101402
12,77.86,66.82,0.0577806,0.10263762,0.14478889
13,78.53,68.46,0.05100075,0.09114541,0.12936502
14,78.05,66.46,0.04607556,0.08248024,0.11756143
15,79.17,69.67,0.03801711,0.06879752,0.09939482
16,78.19,68.06,0.03339863,0.06137433,0.08944187
17,79.23,69.74,0.03117763,0.05722984,0.08368796
18,79.16,69.34,0.02718327,0.0508862,0.07527017
19,79.31,70.57,0.02644601,0.0493579,0.07302587
20,79.03,70.17,0.02470864,0.04649875,0.06933753
21,80.15,70.9,0.02294804,0.04337012,0.06474216
22,80.35,71.27,0.0225494,0.04260911,0.06386139
23,80.7,71.69,0.02361979,0.04306886,0.06338139
24,80.12,70.86,0.02708665,0.04797288,0.06902406
25,80.01,70.5,0.02696242,0.04811086,0.06911129
26,80.01,70.6,0.02619184,0.04675297,0.06760944
27,79.91,70.6,0.0251548,0.04504027,0.0652347
28,79.96,70.18,0.02542623,0.04541982,0.06558422
29,80.67,71.43,0.02666544,0.04715255,0.06752949
