iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,80.29,66.68,0.09651905,0.16663419,0.22875066
6,80.0,65.33,0.09117446,0.15707556,0.21561681
7,80.39,69.35,0.08239544,0.14184641,0.19554943
8,79.69,66.28,0.07696799,0.13300177,0.18436191
9,79.47,64.82,0.06612909,0.11554796,0.16159894
10,79.45,65.3,0.05865932,0.10307799,0.14477903
11,79.1,64.0,0.05510928,0.09649366,0.13565453
12,79.02,65.67,0.04895857,0.08660915,0.12279983
13,79.82,67.94,0.04262054,0.07642556,0.10937338
14,79.7,68.36,0.03747705,0.06797953,0.09833292
15,80.14,69.85,0.03201141,0.05888755,0.08592577
16,80.75,71.55,0.02808278,0.05259249,0.07751693
17,81.02,72.26,0.02815127,0.05183648,0.07583486
18,81.1,71.59,0.02535621,0.0476227,0.07048955
19,81.22,71.69,0.02754787,0.05047628,0.07354361
20,81.87,71.35,0.02591103,0.04786162,0.06981835
21,82.26,73.79,0.02429255,0.04530881,0.06681995
22,81.98,73.52,0.02547262,0.04724981,0.06937298
23,81.38,72.77,0.02569337,0.04776574,0.06968491
24,81.84,73.91,0.02685417,0.04897142,0.07115566
25,81.45,72.92,0.02569271,0.04698841,0.0680366
26,81.19,73.0,0.0258321,0.04717597,0.06819029
27,80.6,72.12,0.02599277,0.04783922,0.06930534
28,81.08,71.28,0.02638931,0.04759052,0.06851037
29,81.27,73.04,0.02686006,0.04895722,0.07052926
