iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.30031446,0.49965766,0.66105304
5,75.84,45.46,0.16454973,0.2905666,0.4001282
6,76.05,45.9,0.16759234,0.29533412,0.40619094
7,75.94,45.34,0.16639472,0.2926172,0.40238505
8,75.97,45.3,0.16482269,0.29001457,0.3991517
9,76.34,46.84,0.15921816,0.28045926,0.38655627
10,76.08,46.12,0.15340602,0.2722219,0.37699602
11,76.02,45.84,0.14998476,0.2671245,0.37094882
12,75.81,43.9,0.14011725,0.25101476,0.35102604
13,76.02,44.47,0.13364743,0.24219345,0.34068736
14,75.95,44.06,0.12825335,0.23398021,0.33053999
15,75.92,43.83,0.12450826,0.22785884,0.32267572
16,75.87,43.7,0.11875654,0.21720975,0.30776
17,76.02,44.31,0.11614813,0.21392416,0.3042798
18,75.84,43.47,0.1143997,0.20977607,0.29819609
19,75.81,43.29,0.10932714,0.20183271,0.28792789
20,75.81,43.35,0.11047285,0.20356348,0.29000167
21,75.8,43.29,0.1082471,0.20008001,0.28568522
22,76.08,45.03,0.10589639,0.19724724,0.28252238
23,75.83,43.74,0.10397219,0.194294,0.27874254
24,75.83,43.58,0.10341678,0.19366087,0.27833516
25,75.81,44.98,0.10120495,0.19050017,0.27463829
26,75.78,44.54,0.10080438,0.19001572,0.27452897
27,77.0,52.18,0.09686443,0.18438483,0.26765098
28,77.31,52.46,0.09770406,0.18470556,0.26744972
29,77.72,54.44,0.0976962,0.18383065,0.26577172
