iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,77.09,61.94,0.11180049,0.19715577,0.27184892
6,78.11,67.2,0.11293281,0.19758387,0.27148146
7,79.19,72.74,0.11512986,0.20004629,0.2742185
8,79.7,69.95,0.11431816,0.19828566,0.27229803
9,81.37,72.2,0.11059846,0.19303976,0.2658188
10,79.14,73.73,0.1043458,0.18334348,0.25395632
11,80.26,73.18,0.09949541,0.17499466,0.24308727
12,81.13,72.87,0.09500506,0.16812891,0.23451693
13,80.18,66.91,0.09075699,0.16173324,0.22657701
14,80.52,67.92,0.08567031,0.15454624,0.21809736
15,80.39,67.4,0.08096073,0.14664108,0.20788679
16,80.18,66.35,0.07872856,0.14283171,0.20295661
17,79.97,64.11,0.07369826,0.13369668,0.19054896
18,79.09,62.79,0.07125259,0.12967954,0.18544253
19,79.12,59.09,0.06873696,0.12661245,0.18217617
20,80.01,62.82,0.06480379,0.11990985,0.17313461
21,81.28,67.86,0.06084963,0.11403724,0.16603247
22,81.26,68.9,0.05926478,0.11101675,0.16174589
23,81.01,69.69,0.05550152,0.10488275,0.15363338
24,81.02,68.77,0.05568943,0.10416397,0.15212706
25,80.12,68.17,0.05326237,0.09971684,0.14597771
26,80.57,67.87,0.05067913,0.0951325,0.1395912
27,80.66,68.92,0.04809783,0.09162239,0.13506037
28,81.06,71.01,0.0476428,0.09063998,0.13372546
29,81.59,70.45,0.04707686,0.08979182,0.13256194
