iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,51.73,45.71,0.38748306,0.4621578,0.53573027
5,81.77,81.77,0.17290312,0.22051611,0.2667558
6,84.67,84.67,0.15707627,0.20188499,0.24535984
7,86.08,86.08,0.14593613,0.18801164,0.22816124
8,86.41,86.41,0.14384744,0.1845577,0.22330884
9,86.2,86.2,0.13902298,0.17893099,0.21701178
10,86.17,86.17,0.14028336,0.17966972,0.2173529
11,86.23,86.23,0.13951193,0.17834417,0.21541828
12,85.75,85.75,0.14079614,0.17987831,0.21691268
13,85.91,85.91,0.13933445,0.17824854,0.21476235
14,86.2,86.2,0.14320675,0.18180041,0.217905
