iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,46.52,39.7,0.38810762,0.46295215,0.53662573
5,82.25,82.24,0.17685797,0.22474689,0.2712531
6,84.96,84.95,0.1547083,0.19890987,0.24132654
7,85.87,85.87,0.14693993,0.18968216,0.23068341
8,85.91,85.91,0.14296694,0.1842661,0.22339158
9,86.6,86.6,0.14139618,0.18173664,0.2200537
10,85.48,85.47,0.14011355,0.17989505,0.21776354
11,85.33,85.32,0.13988069,0.17893619,0.21572006
12,85.11,85.1,0.13937152,0.17815261,0.21472787
13,85.96,85.95,0.14121086,0.17984135,0.21618502
14,86.04,86.04,0.1428067,0.18142034,0.21792727
