iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,51.99,51.67,0.36423536,0.43527165,0.5055945
5,53.51,53.5,0.1757327,0.22562771,0.27430382
6,56.97,56.89,0.1595813,0.20701732,0.25298617
7,58.35,58.3,0.15019083,0.19487839,0.23778631
8,60.96,60.96,0.14405704,0.18669472,0.22762932
9,62.43,62.39,0.14282137,0.18439074,0.22389333
10,62.23,62.17,0.14334672,0.18468055,0.22421541
11,61.77,61.7,0.14518686,0.18592403,0.22486871
12,62.68,62.65,0.14366952,0.18445871,0.22303378
13,61.95,61.92,0.14739072,0.18756957,0.22537967
14,61.8,61.65,0.14735412,0.18733656,0.22521388
