iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.26858852,0.4428577,0.58233766
5,72.23,62.85,0.11022001,0.19285182,0.26498298
6,71.98,62.02,0.11737989,0.20311538,0.27715832
7,73.87,63.99,0.11904701,0.20561615,0.28005859
8,75.92,64.3,0.12107979,0.20869705,0.2840145
9,75.04,61.58,0.11919574,0.20563241,0.27972349
10,77.55,66.52,0.11590108,0.19982682,0.27224829
11,76.72,65.36,0.11031537,0.19111527,0.26092335
12,75.41,61.98,0.10956772,0.18986186,0.25937969
13,75.49,63.75,0.10325256,0.18048287,0.24772395
14,75.9,63.83,0.0991181,0.17348568,0.23869711
15,73.6,60.06,0.09418147,0.16497834,0.22764566
16,76.55,62.61,0.0872675,0.15293933,0.21165358
17,78.01,68.16,0.08351518,0.14712549,0.20428991
18,78.5,68.98,0.07722726,0.1366654,0.19080655
19,77.45,69.55,0.0686223,0.12326028,0.17381125
20,77.44,70.43,0.0650446,0.11767982,0.16682874
21,76.99,68.7,0.06252787,0.11360491,0.1618576
22,75.97,67.59,0.06111455,0.11040058,0.15722285
23,77.51,69.27,0.05700766,0.10384519,0.14889293
24,76.11,67.85,0.05285993,0.0976233,0.14122878
25,76.48,69.18,0.05379466,0.09884789,0.14236053
26,75.87,67.34,0.05077563,0.09455635,0.13718461
27,75.5,67.12,0.05089207,0.09496627,0.13799341
28,74.36,65.43,0.04821264,0.09242961,0.13579392
29,76.01,68.22,0.04996766,0.09504307,0.13890566
