iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.29660054,0.49305492,0.65257954
5,78.08,69.3,0.11221505,0.1950696,0.26823111
6,77.03,65.81,0.11337247,0.19633436,0.26946158
7,78.46,69.61,0.10894488,0.18817126,0.25835946
8,79.17,71.41,0.10301984,0.17841305,0.24529798
9,78.09,68.05,0.09563096,0.1659644,0.22862902
10,78.44,66.65,0.08858429,0.15403051,0.21268003
11,79.73,68.77,0.07997343,0.13966551,0.19423058
12,79.75,68.3,0.07219371,0.1275287,0.17813158
13,80.28,68.3,0.06619702,0.11841358,0.16660818
14,79.27,65.19,0.05880602,0.10548177,0.14995928
15,79.96,67.41,0.05161956,0.09402644,0.13514345
16,80.52,69.62,0.04445724,0.08211478,0.11925206
17,79.89,69.05,0.03663443,0.06931398,0.10232512
18,79.69,68.06,0.03708931,0.06912574,0.10177709
19,79.38,68.72,0.03382539,0.0639528,0.09451626
20,79.48,68.67,0.03330277,0.06271815,0.09275754
21,79.96,70.54,0.0303397,0.05670945,0.0842098
22,79.48,69.92,0.02846004,0.05383266,0.08004766
23,79.68,70.53,0.02899178,0.05358281,0.07891697
24,79.17,70.42,0.03109416,0.05604426,0.08158465
25,79.24,69.96,0.02936949,0.05305256,0.07740592
26,79.0,71.26,0.03145452,0.05524908,0.07946668
27,79.31,70.27,0.03049675,0.05427338,0.07846676
28,79.14,70.51,0.03047996,0.05374333,0.07726441
29,79.73,71.39,0.03266207,0.05690729,0.08111957
