iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,74.36,59.81,0.12019121,0.20952919,0.28732793
6,76.05,56.38,0.12176226,0.21037033,0.28717613
7,75.49,58.5,0.12046709,0.20753431,0.28318091
8,76.22,55.2,0.11468102,0.1985912,0.27224571
9,78.16,62.47,0.1087462,0.18836827,0.25874978
10,78.29,61.18,0.10317198,0.17922534,0.24685162
11,78.78,64.88,0.09842294,0.17241601,0.23894094
12,78.26,61.28,0.09118732,0.16141733,0.22504326
13,77.76,59.04,0.08413689,0.15178282,0.21346071
14,77.52,57.3,0.07992407,0.14467131,0.20450699
15,76.82,50.14,0.07881624,0.14255673,0.20149043
16,77.73,56.36,0.07435462,0.13662312,0.19479061
17,78.6,59.66,0.07532309,0.1371375,0.19506968
18,78.26,57.44,0.07311972,0.13345711,0.19031991
19,77.93,57.56,0.07137092,0.13100114,0.18745162
20,78.07,57.38,0.068213,0.12643134,0.18191318
21,78.22,57.82,0.06835037,0.12661095,0.18211491
22,79.17,61.45,0.06702133,0.12459689,0.17974511
23,78.65,58.68,0.06397148,0.11945782,0.17341347
24,79.52,62.03,0.06035906,0.11326495,0.16521837
25,79.31,60.96,0.0608957,0.11418492,0.16664483
26,78.81,58.1,0.05995226,0.11209079,0.16344407
27,78.68,56.86,0.06189506,0.11519176,0.16746286
28,79.1,58.67,0.05790206,0.11005845,0.16225561
29,78.36,55.69,0.05589397,0.10731121,0.15895576
