iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.29660054,0.49305492,0.65257954
5,77.16,50.47,0.15977465,0.28662398,0.40184396
6,78.26,55.21,0.16060464,0.28592602,0.39891893
7,77.31,50.6,0.1592211,0.28404206,0.39644305
8,77.35,50.93,0.15768689,0.28192406,0.39407636
9,77.31,50.73,0.15565513,0.27959304,0.39141019
10,78.3,55.68,0.15334239,0.2769982,0.38925262
11,79.09,58.88,0.14764042,0.26922331,0.38064021
12,78.22,54.81,0.14575991,0.26564498,0.37599272
13,77.6,52.16,0.14503506,0.26461266,0.37544898
14,77.91,53.54,0.13962599,0.25712509,0.36713143
15,77.07,50.68,0.14062098,0.25944347,0.37083269
16,76.76,48.51,0.13569083,0.25192142,0.36151904
17,76.95,49.94,0.1322829,0.24759127,0.35659766
18,77.2,51.23,0.12944086,0.24296426,0.35107488
19,77.41,52.2,0.12535527,0.23765706,0.34505879
20,77.27,50.66,0.12363311,0.23504372,0.34242531
21,79.9,61.54,0.11905895,0.22863391,0.33504574
22,78.6,56.62,0.11814566,0.22602865,0.3310076
23,77.13,50.18,0.1143392,0.22064799,0.32463998
24,79.27,59.22,0.1125629,0.21798881,0.32114766
25,77.24,51.0,0.11219014,0.21755602,0.32107333
26,77.32,51.43,0.11133038,0.21674286,0.32061731
27,76.71,47.91,0.10954676,0.21426493,0.31785038
28,76.96,49.22,0.1090197,0.21257,0.31519621
29,77.02,49.44,0.10812857,0.21142764,0.31391917
